Species Code,Common Name,Scientific Name
AH,Ash ,Fraxinus spp.
AS,Aspen ,Populus tremuloides
BA,Black Ash ,Fraxinus nigra
BE,Beech ,Fagus grandifolia
BF,Balsam Fir ,Abies balsamea
BI,Birch ,Betula papyrifera
BO,Bur Oak ,Quercus macrocarpa
CE,Cedar ,Thuja occidentalis
CH,Cherry ,Prunus serotina
CO,Cottonwood ,Populus spp.
EL,Elm ,Ulmus americana
HE,Hemlock ,Tsuga canadensis
IW,Ironwood ,Ostrya virginiana
JP,Jack Pine ,Pinus banksiana
LI,Basswood ,Tilia americana
MA,Maple ,Acer spp.
PI,Pine ,Pinus spp.
RO,Red Oak ,Quercus rubra
RP,Red Pine ,Pinus resinosa
SM,Red Maple ,Acer rubrum
SP,Spruce ,Picea mariana
SU,Sugar Maple ,Acer saccharum
TA,Tamarack ,Larix laricina
WA,White Ash ,Fraxinus americana
WB,White Birch ,Betula papyrifera
WO,White Oak ,Quercus alba
WP,White Pine ,Pinus strobus
YB,Yellow Birch ,Betula alleghaniensis
